DBN,School Name,Testers,Offers,,Source: New York City Department of Education. ^Data suppressed for values of 5 students or fewer.
03M859,SPECIAL MUSIC SCHOOL,10,s^,,
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,6,s,,
01M140,P.S. 140 NATHAN STRAUS,6,s,,
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,6,s,,
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,6,s,,
04M377,RENAISSANCE SCHOOL OF THE ARTS,6,s,,
04M964,CENTRAL PARK EAST II,6,s,,
06M018,P.S. 018 PARK TERRACE,6,s,,
06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL,6,s,,
07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,6,s,,
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,6,s,,
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,6,s,,
12X372,URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,6,s,,
14K586,LYONS COMMUNITY SCHOOL,6,s,,
15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,6,s,,
17K353,ELIJAH STROUD MIDDLE SCHOOL,6,s,,
19K422,SPRING CREEK COMMUNITY SCHOOL,6,s,,
23K668,RIVERDALE AVENUE MIDDLE SCHOOL,6,s,,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,6,s,,
30Q235,ACADEMY FOR NEW AMERICANS,6,s,,
03M165,P.S. 165 ROBERT E. SIMON,7,s,,
04M050,P.S. 050 VITO MARCANTONIO,7,s,,
09X004,P.S./M.S. 004 CROTONA PARK WEST,7,s,,
09X219,I.S. 219 NEW VENTURE SCHOOL,7,s,,
09X231,EAGLE ACADEMY FOR YOUNG MEN,7,s,,
12X211,P.S. 211,7,s,,
12X341,ACCION ACADEMY,7,s,,
14K050,J.H.S. 050 JOHN D. WELLS,7,s,,
17K484,RONALD EDMONDS LEARNING CENTER II,7,s,,
19K404,ACADEMY FOR YOUNG WRITERS,7,s,,
21K121,P.S. 121 NELSON A. ROCKEFELLER,7,s,,
27Q043,P.S. 043,7,s,,
27Q105,P.S. 105 THE BAY SCHOOL,7,s,,
32K349,"I.S. 349 MATH, SCIENCE & TECH.",7,s,,
84K730,SUMMIT ACADEMY CHARTER SCHOOL,7,s,,
84M704,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,7,s,,
84X482,DR. RICHARD IZQUIERDO HEALTH AND SCIENCE CHARTER SCHOOL,7,s,,
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,8,s,,
05M046,P.S. 046 ARTHUR TAPPAN,8,s,,
06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,8,s,,
07X005,P.S. 5 PORT MORRIS,8,s,,
07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,8,s,,
10X206,I.S. 206 ANN MERSEREAU,8,s,,
12X217,SCHOOL OF PERFORMING ARTS,8,s,,
13K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,8,s,,
16K308,P.S. 308 CLARA CARDWELL,8,s,,
23K155,P.S./ I.S. 155 NICHOLAS HERKIMER,8,s,,
32K162,J.H.S. 162 THE WILLOUGHBY,8,s,,
32K291,J.H.S. 291 ROLAND HAYES,8,s,,
32K384,P.S./I.S. 384 FRANCES E. CARTER,8,s,,
84M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,8,s,,
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,9,s,,
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,9,s,,
06M328,COMMUNITY MATH & SCIENCE PREP,9,s,,
07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,9,s,,
07X298,ACADEMY OF PUBLIC RELATIONS,9,s,,
08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,9,s,,
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,9,s,,
16K057,J.H.S. 057 WHITELAW REID,9,s,,
17K352,EBBETS FIELD MIDDLE SCHOOL,9,s,,
23K137,P.S./I.S. 137 RACHEL JEAN MITCHELL,9,s,,
23K284,"THE GREGORY JOCKO JACKSON SCHOOL OF SPORTS, ART, AND TECHNOLOGY",9,s,,
23K327,P.S. 327 DR. ROSE B. ENGLISH,9,s,,
23K522,MOTT HALL IV,9,s,,
25Q200,P.S./M.S. 200 - THE POMONOK SCHOOL & STAR ACADEMY,9,s,,
27Q333,GOLDIE MAPLE ACADEMY,9,s,,
29Q147,P.S./M.S. 147 RONALD MCNAIR,9,s,,
29Q356,COMMUNITY VOICES MIDDLE SCHOOL,9,s,,
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,10,s,,
05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,10,s,,
07X029,P.S./M.S. 029 MELROSE SCHOOL,10,s,,
07X584,I.S. 584,10,s,,
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,10,s,,
10X459,EAST FORDHAM ACADEMY FOR THE ARTS,10,s,,
12X384,ENTRADA ACADEMY,10,s,,
19K409,EAST NEW YORK FAMILY ACADEMY,10,s,,
19K760,HIGHLAND PARK COMMUNITY SCHOOL,10,s,,
23K323,P.S./I.S. 323,10,s,,
23K671,MOTT HALL BRIDGES ACADEMY,10,s,,
29Q116,P.S./I.S. 116 WILLIAM C. HUGHLEY,10,s,,
29Q138,P.S./M.S. 138 SUNRISE,10,s,,
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,10,s,,
32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,10,s,,
84M335,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,10,s,,
01M301,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",11,s,,
03M256,LAFAYETTE ACADEMY,11,s,,
03M258,COMMUNITY ACTION SCHOOL - MS 258,11,s,,
04M072,THE LEXINGTON ACADEMY,11,s,,
05M514,NEW DESIGN MIDDLE SCHOOL,11,s,,
08X123,J.H.S. 123 JAMES M. KIERAN,11,s,,
12X273,FREDERICK DOUGLASS ACADEMY V. MIDDLE SCHOOL,11,s,,
18K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,11,s,,
19K171,I.S. 171 ABRAHAM LINCOLN,11,s,,
27Q146,P.S. 146 HOWARD BEACH,11,s,,
32K347,I.S. 347 SCHOOL OF HUMANITIES,11,s,,
84X492,SOUTH BRONX EARLY COLLEGE ACADEMY CHARTER SCHOOL,11,s,,
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,12,s,,
06M311,AMISTAD DUAL LANGUAGE SCHOOL,12,s,,
10X315,P.S. 315 LAB SCHOOL,12,s,,
17K394,M.S. K394,12,s,,
19K662,LIBERTY AVENUE MIDDLE SCHOOL,12,s,,
19K663,SCHOOL OF THE FUTURE BROOKLYN,12,s,,
21K095,P.S. 095 THE GRAVESEND,12,s,,
22K109,P.S. 109,12,s,,
23K644,EAGLE ACADEMY FOR YOUNG MEN II,12,s,,
23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),12,s,,
24Q087,P.S./I.S. 087 MIDDLE VILLAGE,12,s,,
28Q008,J.H.S. 008 RICHARD S. GROSSLEY,12,s,,
84M279,THE OPPORTUNITY CHARTER SCHOOL,12,s,,
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,13,s,,
